"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 04 11:15:23 CST 2023","Wed Jan 04 11:15:23 CST 2023","0","testcase","test_wangxue","TestWang","","","test_wang_1",""
"passed","Wed Jan 04 11:17:53 CST 2023","Wed Jan 04 11:17:55 CST 2023","2072","testcase","test_tianqi","Testtianqi","","","test_tianqi2[name0]",""
"passed","Wed Jan 04 11:15:07 CST 2023","Wed Jan 04 11:15:07 CST 2023","0","testcase","test_api","Testapi","","","test_api2[崔浩-20]",""
"passed","Wed Jan 04 11:15:07 CST 2023","Wed Jan 04 11:15:07 CST 2023","136","interface_testcase","test_17k","Test17k","","","test_login[cuihao]",""
"passed","Wed Jan 04 11:17:51 CST 2023","Wed Jan 04 11:17:53 CST 2023","2124","testcase","test_tianqi","Testtianqi","","","test_tianqi_0[name2]",""
"passed","Wed Jan 04 11:15:07 CST 2023","Wed Jan 04 11:15:07 CST 2023","1","interface_testcase","test_sprint","","","","test_04",""
"passed","Wed Jan 04 11:15:23 CST 2023","Wed Jan 04 11:15:23 CST 2023","0","testcase","test_wangxue","TestWang","","","test_wang_2[zzd]",""
"passed","Wed Jan 04 11:15:07 CST 2023","Wed Jan 04 11:15:07 CST 2023","0","testcase","test_api","Testapi","","","test_api[王雪]",""
"passed","Wed Jan 04 11:15:23 CST 2023","Wed Jan 04 11:15:23 CST 2023","0","testcase","test_wangxue","TestWang","","","test_wang_2[cl]",""
"passed","Wed Jan 04 11:15:07 CST 2023","Wed Jan 04 11:15:07 CST 2023","0","testcase","test_product","TestProduct","","","test_01",""
"passed","Wed Jan 04 11:15:07 CST 2023","Wed Jan 04 11:15:07 CST 2023","0","interface_testcase","test_sprint","TestSprint","","","test_03",""
"passed","Wed Jan 04 11:15:07 CST 2023","Wed Jan 04 11:15:07 CST 2023","0","testcase","test_api","Testapi","","","test_api2[王雪-18]",""
"skipped","Wed Jan 04 11:15:07 CST 2023","Wed Jan 04 11:15:07 CST 2023","0","testcase","test_product","TestProduct","","","test_03",""
"passed","Wed Jan 04 11:15:07 CST 2023","Wed Jan 04 11:15:07 CST 2023","0","testcase","test_product","TestProduct","","","test_02",""
"passed","Wed Jan 04 11:17:55 CST 2023","Wed Jan 04 11:17:58 CST 2023","2574","testcase","test_tianqi","Testtianqi","","","test_tianqi2[name1]",""
"passed","Wed Jan 04 11:15:07 CST 2023","Wed Jan 04 11:15:07 CST 2023","0","testcase","test_login","TestLojin","","","test_01[zzd]",""
"passed","Wed Jan 04 11:15:07 CST 2023","Wed Jan 04 11:15:07 CST 2023","0","testcase","test_api","Testapi","","","test_api[崔浩]",""
"passed","Wed Jan 04 11:15:07 CST 2023","Wed Jan 04 11:15:07 CST 2023","0","testcase","test_login","TestLojin","","","test_01[cl]",""
"passed","Wed Jan 04 11:17:58 CST 2023","Wed Jan 04 11:18:00 CST 2023","2112","testcase","test_tianqi","Testtianqi","","","test_tianqi2[name2]",""
"passed","Wed Jan 04 11:15:07 CST 2023","Wed Jan 04 11:15:07 CST 2023","85","interface_testcase","test_17k","Test17k","","","test_login[wangxue]",""
"passed","Wed Jan 04 11:17:48 CST 2023","Wed Jan 04 11:17:51 CST 2023","2552","testcase","test_tianqi","Testtianqi","","","test_tianqi_0[name1]",""
"passed","Wed Jan 04 11:17:45 CST 2023","Wed Jan 04 11:17:48 CST 2023","3022","testcase","test_tianqi","Testtianqi","","","test_tianqi_0[name0]",""
"passed","Wed Jan 04 11:15:07 CST 2023","Wed Jan 04 11:15:07 CST 2023","0","testcase","test_login","TestLojin","","","test_01[cyl]",""
"passed","Wed Jan 04 11:15:23 CST 2023","Wed Jan 04 11:15:23 CST 2023","0","testcase","test_wangxue","TestWang","","","test_wang_2[cyl]",""
"skipped","Wed Jan 04 11:15:07 CST 2023","Wed Jan 04 11:15:07 CST 2023","0","testcase","test_product","TestProduct","","","test_04",""
"broken","Tue Feb 07 19:45:09 CST 2023","Tue Feb 07 19:45:16 CST 2023","6953","testcase_ui","test_login","TestLojin","","","test_01",""
